,rank,company,industry,headquarters city,country,revenues ($m),revenue percent change,profits ($m),profits percent change,assets ($m),profitable,sector,employees,ceo,website,market value ($m),ceo_woman,fastest_growing_company,change_the_world,world_most_admired_company,global_500,previous revenue ($m),previous profit ($m)
0,1,trafigura-group,Thương mại,Singapore,Singapore,244280.2,-23.3,7393.2,5.7,83383.0,True,Năng lượng,12479.0,Jeremy Weir,https://www.trafigura.com,13316.0,False,False,False,False,True,318487.8748370274,6994.512771996216
1,2,ptt,Lọc dầu,Bangkok,Thái Lan,90418.7,-6.0,3221.1,23.5,100741.0,True,Năng lượng,30772.0,Kongkrapan Intarajang,https://www.pttplc.com,26001.0,False,False,False,False,True,96190.10638297873,2608.178137651822
2,3,pertamina,Lọc dầu,Jakarta,Indonesia,75787.8,-10.7,4441.4,16.7,91124.0,True,Năng lượng,40415.0,Nicke Widyawati,https://pertamina.com/,19354.0,True,False,False,False,True,84868.75699888018,3805.8269065981144
3,4,wilmar-international,Sản xuất thực phẩm,Singapore,Singapore,67155.3,-8.5,1524.8,-36.5,61809.0,True,"Thực phẩm, Đồ uống & Thuốc lá",100000.0,Kuok Khoon Hong,https://www.wilmar-international.com,14785.0,False,False,False,True,True,73393.77049180328,2401.2598425196848
4,5,olam-group,Sản xuất thực phẩm,Singapore,Singapore,35953.1,-9.8,207.6,-54.5,25286.0,True,Bán buôn,65980.0,Sunny Verghese,https://www.olamgroup.com,3289.0,False,False,False,False,True,39859.31263858093,456.2637362637363
5,6,perusahaan-listrik-negara,Tiện ích: Khí đốt và Điện,Jakarta,Indonesia,32012.9,7.6,1446.7,49.6,108518.0,True,Năng lượng,51245.0,Darmawan Prasodjo,https://web.pln.co.id,18059.0,False,False,False,False,False,29751.765799256504,967.0454545454546
6,7,cp-all,Cửa hàng Thực phẩm và Dược phẩm,Nonthaburi,Thái Lan,26487.9,8.6,531.4,39.9,26972.0,True,Bán lẻ,85096.0,Yuthasak Poomsurakul,https://www.cpall.co.th,13932.0,False,False,False,False,False,24390.331491712706,379.84274481772695
7,8,flex,"Điện tử, Thiết bị Điện",Singapore,Singapore,26415.0,-7.3,1006.0,26.9,18257.0,True,Công nghệ,148115.0,Revathi Advaithi,https://flex.com,11093.0,True,False,False,False,False,28495.14563106796,792.7501970055162
8,9,san-miguel,Đồ uống,Thành phố Mandaluyong,Philippines,26023.9,-6.1,3.6,101.5,44401.0,True,Công nghiệp,53184.0,Ramon S. Ang,https://www.sanmiguel.com.ph,,False,False,False,False,False,27714.483493077743,1.786600496277916
9,10,dbs-group-holdings,Ngân hàng Thương mại,Singapore,Singapore,25607.6,64.2,7494.9,26.0,560586.0,True,Tài chính,40770.0,Piyush Gupta,https://www.dbs.com,,False,False,False,False,False,15595.371498172959,5948.333333333333
10,11,united-overseas-bank,Ngân hàng Thương mại,Singapore,Singapore,19733.4,68.9,4253.5,28.2,396967.0,True,Tài chính,32340.0,Wee Ee Cheong,https://www.uobgroup.com,37330.0,False,False,False,False,False,11683.48134991119,3317.86271450858
11,12,oversea-chinese-banking,Ngân hàng Thương mại,Singapore,Singapore,18418.1,67.1,5229.2,30.4,440874.0,True,Tài chính,33330.0,Helen Wong,https://www.ocbc.com,47026.0,True,False,False,False,False,11022.202274087373,4010.122699386503
12,13,charoen-pokphand-foods,Sản xuất thực phẩm,Bangkok,Thái Lan,17243.5,-3.3,-149.7,-137.5,25829.0,False,"Thực phẩm, Đồ uống & Thuốc lá",92970.0,Prasit Boondoungprasert,https://www.cpfworldwide.com,4402.0,False,False,False,False,False,17831.954498448813,399.2
13,14,indorama-ventures,Hóa chất,Bangkok,Thái Lan,15715.5,-17.5,-310.5,-135.0,17180.0,False,Hóa chất,29056.0,Aloke Lohia,https://www.indoramaventures.com,3619.0,False,False,False,False,False,19049.09090909091,887.1428571428569
14,15,bank-rakyat-indonesia,Ngân hàng Thương mại,Jakarta,Indonesia,14916.8,14.7,3947.6,14.4,127639.0,True,Tài chính,77739.0,Sunarso,https://www.ir-bri.com,26396.0,False,False,False,False,False,13005.056669572798,3450.6993006993002
15,16,siam-cement,"Vật liệu Xây dựng, Kính",Bangkok,Thái Lan,14366.9,-11.9,745.2,21.8,26015.0,True,Vật liệu,55578.0,Thammasak Sethaudom,https://www.scg.com/,8059.0,False,False,False,False,False,16307.49148694665,611.8226600985222
16,17,maybank,Ngân hàng Thương mại,Kuala Lumpur,Malaysia,14148.6,25.7,2052.0,13.2,223894.0,True,Tài chính,43595.0,Khairussaleh Ramli,https://www.maybank.com/,24625.0,False,False,False,False,False,11255.847255369928,1812.7208480565369
17,18,singapore-airlines,Hàng không,Singapore,Singapore,14141.1,9.3,1989.4,26.7,32850.0,True,Vận tải,16643.0,Goh Choon Phong,https://www.singaporeair.com/,14417.0,False,False,False,True,False,12937.877401646845,1570.1657458563539
