Unnamed: 0,Rank,Company,Industry,Headquarters City,Country,Revenues ($M),Revenue Percent Change,Profits ($M),Profits Percent Change,Assets ($M),Profitable,Female CEO,Sector,Fastest Growing Companies,Change the World,World's Most Admired Companies,Employees,Global 500,slug,CEO,Website,Market value ($M)
0,1,trafigura-group,Trading,Singapore,Singapore,"$244,280.2",-23.3%,"$7,393.2",5.7%,"$83,383",yes,no,Energy,no,no,no,"12,479",yes,/company/trafigura-group/,Jeremy Weir,https://www.trafigura.com,"$13,316"
1,2,ptt,Petroleum Refining,Bangkok,Thailand,"$90,418.7",-6%,"$3,221.1",23.5%,"$100,741",yes,no,Energy,no,no,no,"30,772",yes,/company/ptt/,Kongkrapan Intarajang,https://www.pttplc.com,"$26,001"
2,3,pertamina,Petroleum Refining,Jakarta,Indonesia,"$75,787.8",-10.7%,"$4,441.4",16.7%,"$91,124",yes,yes,Energy,no,no,no,"40,415",yes,/company/pertamina/,Nicke Widyawati,https://pertamina.com/,"$19,354"
3,4,wilmar-international,Food Production,Singapore,Singapore,"$67,155.3",-8.5%,"$1,524.8",-36.5%,"$61,809",yes,no,"Food, Beverages & Tobacco",no,no,yes,"100,000",yes,/company/wilmar-international/,Kuok Khoon Hong,https://www.wilmar-international.com,"$14,785"
4,5,olam-group,Food Production,Singapore,Singapore,"$35,953.1",-9.8%,$207.6,-54.5%,"$25,286",yes,no,Wholesaler,no,no,no,"65,980",yes,/company/olam-international/,Sunny Verghese,https://www.olamgroup.com,"$3,289"
5,6,perusahaan-listrik-negara,Utilities: Gas and Electric,Jakarta,Indonesia,"$32,012.9",7.6%,"$1,446.7",49.6%,"$108,518",yes,no,Energy,no,no,no,"51,245",no,/company/perusahaan-listrik-negara/,Darmawan Prasodjo,https://web.pln.co.id,"$18,059"
6,7,cp-all,Food and Drug Stores,Nonthaburi,Thailand,"$26,487.9",8.6%,$531.4,39.9%,"$26,972",yes,no,Retailing,no,no,no,"85,096",no,/company/cp-all/,Yuthasak Poomsurakul,https://www.cpall.co.th,"$13,932"
7,8,flex,"Electronics, Electrical Equip",Singapore,Singapore,"$26,415",-7.3%,"$1,006",26.9%,"$18,257",yes,yes,Technology,no,no,no,"148,115",no,/company/flex/,Revathi Advaithi,https://flex.com,"$11,093"
8,9,san-miguel,Beverages,Mandaluyong City,Philippines,"$26,023.9",-6.1%,$3.6,101.5%,"$44,401",yes,no,Industrials,no,no,no,"53,184",no,/company/san-miguel/,Ramon S. Ang,https://www.sanmiguel.com.ph,
9,10,dbs-group-holdings,Commercial Banks,Singapore,Singapore,"$25,607.6",64.2%,"$7,494.9",26%,"$560,586",yes,no,Financials,no,no,no,"40,770",no,/company/dbs-group-holdings/,Piyush Gupta,https://www.dbs.com,
